"Source:","/home/jseng/ue4/herbie2/herbie2_pcb/herbie2.sch"
"Date:","Mon 14 Dec 2020 07:40:39 AM PST"
"Tool:","Eeschema 5.1.8-db9833491~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"","","J9","I2C_STANDARDQWIIC","SparkFun-Connectors:I2C_STANDARDQWIIC","Connectors:1X04_1MM_RA","","","","","","","","CONN-13729","","",""
"","","J10","CONN_04JST-PTH","SparkFun-Connectors:CONN_04JST-PTH","Connectors:JST-4-PTH","","","","","","","","WIRE-13531","","",""
"","","J11","CONN_04JST-PTH","SparkFun-Connectors:CONN_04JST-PTH","Connectors:JST-4-PTH","","","","","","","","WIRE-13531","","",""
"","","J12","Vin","Connector:Screw_Terminal_01x04","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","~","","","","","","","","","",""
"","","J15","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J16","Conn_02x03_Odd_Even","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J17","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J18","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J19","Conn_01x01","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","",""
"","","J20","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"","","LCD1","LCD-16X2SILK","SparkFun-Displays:LCD-16X2SILK","Displays:LCD-16X2","","","","","","","","LCD-00255","","",""
